index,title,soup
78,Ballers,families series centered around friends football players handlers group ballers english stephenlevinson dwaynejohnson johndavidwashington donovanw.carter comedy drama sport
79,Miranda,hounded pushy mother around socially inept miranda always gets working joke shop best friend stevie crush gary awkward situations miranda english mirandahart patriciahodge tomellis na comedy
80,She-Ra and the Princesses of Power,monstrous invaders power rebellion free etheria horde princess leads ra land ra princesses power english noellestevenson aimeecarrero marcusscribner karenfukuhara animation action adventure comedy drama family fantasy sci-fi
81,Scream Queens,terrorized different locations serial killer university anthology series characters hospital semi including centers scream queens english ianbrennan bradfalchuk ryanmurphy emmaroberts leamichele abigailbreslin comedy horror mystery
82,Gilligan's Island,uncharted island following torrential storm women seven men stranded gilligan island english sherwoodschwartz bobdenver alanhalejr. jimbackus comedy family
83,Hudson & Rex,prefers ear highly trained law enforcement animal german shepherd dog named rex team detective charlie hudson teams calls talk hudson rex english johnreardon maykonguyen kevinhanchard na crime drama mystery
84,7th Heaven,families ranging adults seven children toddlers drama eric camden wife annie deal minister 7th heaven english brendahampton stephencollins catherinehicks jessicabiel comedy drama family romance
85,Raising Hope,night stand single parent mother ends death row one jimmy becomes infant raising hope english gregorythomasgarcia lucasneff marthaplimpton garretdillahunt comedy family
86,Dirilis: Ertugrul,ottoman empire founded father heroic story uthman ertugrul ghazi osman dirilis ertugrul turkish arabic mehmetbozdag enginaltandüzyatan hülyadarcan cengizcoskun action adventure drama history war
87,CSI: NY,team solve crimes using forensic science csi head detective mac taylor new york city csi ny english russian americansignlanguage anndonahue carolmendelsohn anthonye.zuiker garysinise carminegiovinazzo hillharper action crime drama mystery thriller
88,Dota: Dragon's Blood,could mission encounters princess ever imagined dragon events larger knight becomes embroiled dota dragon blood english ashleymiller yurilowenthal larapulver deebradleybaker animation action adventure fantasy sci-fi thriller
89,Absentia,murders absentia string family fbi agent must reclaim identity innocence declared dead prime suspect finds absentia english matthewcirulnick gaiaviolo stanakatic patrickheusinger neiljackson crime drama mystery thriller
90,The Bill,inner london police station enforce law uniform officers detectives day order basis bill english geoffmcqueen grahamcole jeffstewart trudiegoodwin crime drama
91,Spooks,mi missions uk 5 domestic intelligence organization spooks english davidwolstencroft peterfirth hughsimon nicolawalker action crime drama mystery thriller
92,Disenchantment,"elf bean ', dangerous meets luci princess tiabeanie annoyed things get rather exciting elfo imminent arranged marriage prince merkimer demon disenchantment english mattgroening joshweinstein abbijacobson ericandré natfaxon animation action adventure comedy fantasy"
93,The Walking Dead: World Beyond,zombie apocalypse first generation series grow focus walking dead world beyond english scottm.gimple matthewnegrete juliaormond nicolascantu alexamansour drama horror sci-fi
94,Starstruck,london juggling two dead discovers film star millennial night awkward morning accidentally sleeping complications end jobs navigating starstruck english rosematafeo nikeshpatel emmasidi na comedy
95,Holby City,nurses find wards patients doctors professional frenetic cardiac unit holby city general hospital everyday lives personal various reasons holby city english hughquarshie rosiemarcel jayejacobs na drama
96,Marco Polo,adventures rivalry 13th century mongolia based famed explorer world replete kublai khan marco polo sexual intrigue betrayal court greed marco polo english cantonese mandarin mongolian persian italian uighur arabic johnfusco lorenzorichelmy benedictwong joanchen adventure drama history
97,Survivor,contest takes home lone survivor back little million dollars reality show contestants remote location stranded group clothes survivor english charlieparsons jeffprobst lillianmorris jondalton adventure game-show reality-tv
98,Versailles,build old political intrigues complicate things drained budget 1667 world year decides versailles affairs france louis xiv powerful king 28 greatest palace versailles latin spanish english simonmirren davidwolstencroft georgeblagden alexandervlahos tyghrunyan biography drama history romance war
99,Hinterland,redemption troubled dci tom mathias solves murders wales searching noir crime drama set aberystwyth hinterland welsh english richardharrington maliharries alexharries na crime drama mystery
100,The Missing,nightmare old son oliver disappears emily hughes large celebrating crowd tony year 5 vacation turns northern france missing english french tchékykaryo anastasiahille davidmorrissey na crime drama mystery
101,Drake & Josh,one awkward geek popular musician two teens become step brothers drake josh english danschneider drakebell joshpeck mirandacosgrove comedy family
102,Lego Masters,concludes complex constructions series single lego brick competitions enthusiasts participate begin inspiring lego masters english willarnett jamieberard amycorbett na reality-tv
103,Top Boy,two london drug dealers ply public housing estate east lucrative trade top boy english ronanbennett ashleywalters kano shoneromulus crime drama thriller
104,Pokémon,yellow pet pikachu human friends explore world ash ketchum powerful creatures pokémon japanese junichimasuda kensugimori satoshitajiri veronicataylor rachaellillis ericstuart animation action adventure comedy family fantasy
105,Bonanza,sons nevada ranch helping ben cartwright surrounding community wild west adventures defend run bonanza na daviddortort fredhamilton lornegreene michaellandon danblocker western
106,Regular Show,mundane jobs groundskeepers attempt raccoon duo local park daily surreal adventures deal blue jay regular show english j.g.quintel j.g.quintel williamsalyers sammarin animation action adventure comedy family fantasy sci-fi
107,Vis a Vis,boss love naive girl pay broke price law fell vis vis spanish ivánescobar esthermartínezlobato álexpina albaflores maríaisabeldíazlago martaaledo drama thriller
108,Sabrina the Teenage Witch,newly old high school student finds witch discovered magical powers year control two aunts offer guidance sixteen sabrina teenage witch english jonathanschmock nellscovell melissajoanhart carolinerhea bethbroderick comedy family fantasy
109,Ally McBeal,follows professional life personal lawyer ally ally mcbeal english davide.kelley calistaflockhart greggermann janekrakowski comedy drama fantasy music romance
110,Bleach: Burîchi,"see ghosts sets gains soul reaper powers hollows "". world rukia kuchiki high school student ichigo kurosaki ability save bleach burîchi japanese titekubo johnnyyongbosch michelleruff stephaniesheh animation action adventure fantasy"
111,Timeless,know protect history order unlikely trio travel battle unknown criminals time timeless english erickripke shawnryan abigailspencer mattlanter malcolmbarrett action adventure drama sci-fi
112,Powerpuff,20s faced resent ever used three disillusioned women superpowers choice world needs lost reuniting fight crime together childhood powerpuff english diablocody heatherv.regnier chloebennet dovecameron donaldfaison action adventure comedy drama fantasy sci-fi
113,Hell's Kitchen,"restaurant kitchen "". dinner services rigorous cooking challenges hollywood world renowned chef gordon ramsay puts aspiring young chefs hell hell kitchen english gordonramsay jeanphilippesusilovic scottleibfried na game-show reality-tv"
114,Shooter,follows bob lee swagger conspiracy thriller decorated veteran prevent action journey plot highly coaxed back president kill shooter english johnhlavin ryanphillippe shantelvansanten cynthiaaddai-robinson action drama
115,Forbrydelsen,political consequences police detective sarah lund investigates difficult cases personal forbrydelsen danish norwegian swedish sørensveistrup sofiegråbøl mortensuurballe larsmikkelsen crime drama mystery thriller
116,The Society,survive society west ham must forge everyone else mysteriously vanishes wealthy town teen residents society english christopherkeyser kathrynnewton gideonadlon seanberdy drama mystery sci-fi thriller
117,Grantchester,mysterious wrongdoings investigating series grantchester small village cambridgeshire clergyman finds grantchester english daisycoulam robsongreen tessapeake-jones alweaver crime drama mystery
118,Workaholics,single telemarketers work together live camera comedy featuring three friends 5 9 workaholics english blakeanderson adamdevine andersholm blakeanderson adamdevine andersholm comedy
119,Victoria,prince albert marriage eighteen courtship throne queen victoria early life tender age ascension victoria english daisygoodwin jennacoleman adrianschiller tommyknight biography drama history
120,Ghosts,abandoned country home spirits restlessly squabble group ghosts english lollyadefope mathewbaynton simonfarnaby na comedy fantasy
121,Lethal Weapon,partnered veteran detective trying slightly unhinged cop life low stress level maintain lethal weapon english spanish arabic chinese korean chechen slovak matthewmiller damonwayans keeshasharp kevinrahm action comedy crime drama thriller
122,Brothers & Sisters,family adult siblings drama surrounding story brothers sisters english jonrobinbaitz daveannable calistaflockhart rachelgriffiths drama
123,General Hospital,families changing events dangerous waterfront frequented new york criminal underworld friends enemies busy hospital cozy diner lovers experience life port charles large upstate city upscale hotel general hospital na dorishursley frankhursley mauricebenard steveburton laurawright crime drama romance
124,Everything's Gonna Be Okay,realization together two half hold father untimely death occasion also nicholas rise devastating loss left one sisters cope everything gonna okay english joshthomas joshthomas kaylacromer adamfaison comedy
125,Halt and Catch Fire,80s technological revolution follows players information society lead halt catch fire english christophercantwell christopherc.rogers leepace scootmcnairy mackenziedavis drama
126,Babylon 5,located five years various wars mid 23rd century political intrigue earth alliance space station babylon 5 racial tensions course neutral territory major focal point babylon english j.michaelstraczynski mirafurlan richardbiggs stephenfurst action adventure drama sci-fi
127,"Nicky, Ricky, Dicky & Dawn",old nicky heightened 11 quadruplets dicky ricky sibling rivalry year fact dawn harper nicky ricky dicky dawn english michaelfeldman mattfleckenstein lizzygreene caseysimpson aidangallagher comedy family
128,Sword Art Online,lone wolf player thousands new virtual mmorpg escape people get trapped kirito year 2022 works sword art online japanese yoshitsugumatsuoka harukatomatsu brycepapenbrook na animation action adventure comedy drama fantasy romance sci-fi thriller
129,Imposters,marries people disappears dark comedy money female con artist focuses imposters english pauladelstein adambrooks inbarlavi robheaps parkeryoung comedy crime drama mystery
130,Miami Vice,follows two undercover detectives fashion mean streets florida miami vice resplendent extended team vibe authentic 1980s music miami vice spanish english anthonyyerkovich donjohnson philipmichaelthomas saundrasantiago action crime drama mystery thriller
131,A Black Lady Sketch Show,half hour sketch comedy written starring robin thede black lady sketch show english robinthede robinthede ashleynicoleblack gabrielledennis comedy
132,Little Birds,infamous collection erotic short stories tv adaptation anais nin little birds english junotemple yumnamarwan hughskinner na drama romance
133,Agent Carter,peggy carter secretarial duties accused howard stark name ssr ). clear help treason relegated edwin jarvis secretly recruits 1946 strategic scientific reserve butler agent carter english christophermarkus stephenmcfeely hayleyatwell jamesd'arcy envergjokaj action adventure sci-fi
134,Time,charge eric faces dangerous inmates identifies principles tries family impossible choice protect one prison officer weakness love time english seanbean stephengraham jamesnelson-joyce na crime drama
135,Inspector Montalbano,sicily detective montalbano solves crimes inspector montalbano italian lucazingaretti peppinomazzotta angelorusso na crime drama mystery
136,Ghost Whisperer,doubt communicate side living help send newlywed allow recently deceased overcomes skepticism dead earthbound spirits ability important messages pass ghost whisperer english johngray jenniferlovehewitt davidconrad camrynmanheim drama fantasy
137,Saved by the Bell,palisades close attending bayside high school knit group six friends get teens together california saved bell english sambobrick mark-paulgosselaar mariolopez dustindiamond comedy family romance
138,The Backyardigans,pablo austin young friends tasha play share get together day realistic landscape imaginations transform backyard tyrone different photo group uniqua backyardigans english janiceburgess lashawnjefferies jonahbobo seancurley animation adventure comedy family musical
139,Kaubôi bibappu,tragedies partners futuristic misadventures easygoing bounty hunter kaubôi bibappu english japanese hajimeyatate kôichiyamadera unshôishizuka megumihayashibara animation action adventure comedy drama sci-fi thriller
140,Kenpû Denki Berserk,"mercenary group named fights battle band charismatic griffith guts skilled swordsman hawk ', lead joins forces royal court way kenpû denki berserk english kentaromiura nobutoshicanna marcdiraison carriekeranen animation action adventure drama fantasy horror romance"
