,index,title,year,language,episode_season_duration,genre,creators,stars,description,rating,trailer,weighted_rating,nameurls,soup
4271,4271,Vixen,2015–2016,English,5min,"Animation,Short,Action,Adventure,Fantasy,Sci-Fi",Marc Guggenheim,"Megalyn Echikunwoke,Anika Noni Rose,Emily Bett Rickards","Vixen is based on the DC Character Mari McCabe / Vixen, a costumed superhero crime-fighter with the power to mimic the abilities of any animal that has ever lived on Earth.",7.1,,7.023891768585335,"<a href=""http://cwseed.com/shows/vixen"">Official site</a>",vixen abilities earth based fighter dc character mari mccabe animal costumed superhero crime power ever lived mimic vixen english marcguggenheim megalynechikunwoke anikanonirose emilybettrickards animation short action adventure fantasy sci-fi
4272,4272,Burke's Law,1994–1995,English,1h,"Crime,Drama,Mystery",James L. Conway,"Gene Barry,Peter Barton,Danny Kamekona","This brief revival of the 1960s cop thriller continued the adventures of Amos Burke, a senior Los Angeles police officer and millionaire. By now, Burke was a widower with a son, Peter, who was a detective under his command. The revival continued many of the hallmarks of the old show: glamorous backgrounds, convoluted plots and big-name guest stars.",6.5,,6.501374530187352,,burke convoluted plots millionaire widower adventures brief revival son hallmarks command peter amos name guest stars big 1960s cop thriller continued senior los angeles police officer glamorous backgrounds many detective old show burke law english jamesl.conway genebarry peterbarton dannykamekona crime drama mystery
4273,4273,The Mask,1995–1997,English,30min,"Animation,Action,Adventure,Comedy,Crime,Fantasy,Mystery,Sci-Fi",Mark Badger,"Rob Paulsen,Frank Welker,Jim Cummings",The further adventures of Stanley Ipkiss (Rob Paulsen) and his magic reality defying mask.,7.0,,6.984023530724362,"<a href=""http://web.archive.org/web/19971014022248/http://www.amazin.com/amazin/maskstructure/maskshowpage/masktemplate6.html"">Official site</a>",magic reality defying mask stanley ipkiss rob paulsen adventures mask english markbadger robpaulsen frankwelker jimcummings animation action adventure comedy crime fantasy mystery sci-fi
4274,4274,Invasion,2021– ,English,,"Drama,Fantasy,Sci-Fi","Tara Moayedi,Azhy Robertson,Daisuke Tsuji",,TV Series inspired by HG Wells' 'War of the Worlds'.,0.0,https://imdb.com/video/vi304332825?playlistId=tt9737326&ref_=tt_ov_vi,0.0,,worlds '. hg wells tv series inspired war invasion english taramoayedi azhyrobertson daisuketsuji na drama fantasy sci-fi
4275,4275,Bee and PuppyCat,2013– ,English,7min,"Animation,Short,Action,Adventure,Comedy,Drama,Fantasy,Sci-Fi",Natasha Allegri,"Allyn Rachel,Kent Osborne,Alexander James Rodriguez","Bee, an unemployed woman is living a normal life, until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space"".",8.2,,7.56696891379786,,"puppycat travel grumpy companion named arrives normal life follow bee unemployed woman reality living fishbowl space "". bee puppycat english natashaallegri allynrachel kentosborne alexanderjamesrodriguez animation short action adventure comedy drama fantasy sci-fi"
4276,4276,Seinto Seiya,1986–1989,Japanese,24min,"Animation,Action,Adventure,Drama,Fantasy,Sci-Fi","Hideyuki Tanaka,Tôru Furuya,Ryô Horikawa",,"A group a young warriors known as 'Saints', each in possession of a 'cloth' guarded by a different constellation, must protect the reincarnation of the goddess Athena as she attempts to keep the Earth from being destroyed by evil forces.",8.5,https://imdb.com/video/vi3230925081?playlistId=tt0161952&ref_=tt_ov_vi,8.295991788550378,,"cloth different constellation must protect earth young warriors known evil forces attempts goddess athena group guarded possession reincarnation destroyed saints ', keep seinto seiya japanese hideyukitanaka tôrufuruya ryôhorikawa na animation action adventure drama fantasy sci-fi"
4277,4277,Monogatari Series: Second Season,2013– ,Japanese,25min,"Animation,Adventure,Comedy,Fantasy,Romance","Akiyuki Shinbo,Fuyashi Tou","Yôji Ueda,Saori Hayami,Kaori Mizuhashi","Walking to school one day Tsubasa Hanekawa encounters a huge white tiger apparition at a crossroads that talks to her. The next day her house burns down. Homeless, and not wanting to stay with her family, she lies and tells them she has a place to stay, but instead sleeps in the old cram school. She's awakened by an angry and upset Hitagi Senjogahara who ridicules her...",8.5,,7.824222799573127,"<a href=""http://www.monogatari-series.com/2ndseason/"">Official site (Japan)</a>",tells talks family upset hitagi senjogahara house burns next day homeless angry place stay ... wanting old cram school lies huge white tiger apparition crossroads awakened instead sleeps one tsubasa hanekawa encounters ridicules walking monogatari series second season japanese akiyukishinbo fuyashitou yôjiueda saorihayami kaorimizuhashi animation adventure comedy fantasy romance
4278,4278,Ladhood,2019– ,English,25min,Comedy,"Liam Williams,Oscar Kennedy,Samuel Bottomley",,"A coming-of-age comedy from the BAFTA nominated comedian, Liam Williams exploring the roots of modern-day masculinity, by delving into the memories of his own misspent adolescence.",7.2,https://imdb.com/video/vi3429023257?playlistId=tt11333564&ref_=tt_ov_vi,7.199024391820429,"<a href=""https://www.bbc.co.uk/iplayer/episodes/p07t80ht/ladhood"">Official programme site</a>",liam williams exploring delving age comedy modern memories day masculinity coming misspent adolescence bafta nominated comedian roots ladhood english liamwilliams oscarkennedy samuelbottomley na comedy
4279,4279,The Cape,2011,English,1h,"Action,Drama",Tom Wheeler,"David Lyons,Keith David,Summer Glau","Vince Faraday is a cop who has been framed for murder, leading him to fall off the grid and become the super hero known only as ""The Cape.""",5.7,https://imdb.com/video/vi2171322649?playlistId=tt1593823&ref_=tt_ov_vi,5.85390759985771,"<a href=""http://www.nbc.com/the-cape/"">NBC (United States)</a>","cape ."" become grid leading cop fall super hero known murder vince faraday framed cape english tomwheeler davidlyons keithdavid summerglau action drama"
4280,4280,Ridley Road,,,,Thriller,"Julia Krynke,Gabriel Akuwudike,Danny Hatchard",,"When Vivien Epstein follows her lover into danger and he is caught between life and death, Vivien finds herself going undercover with the fascists, not only for him but for the sake of her country.",0.0,,0.0,,lover caught vivien epstein follows going undercover sake country finds danger fascists death life ridley road na juliakrynke gabrielakuwudike dannyhatchard na thriller
4281,4281,"Honey, I Shrunk the Kids: The TV Show",1997–2000,English,1h,"Action,Adventure,Comedy,Family,Sci-Fi","Ed Ferrara,Kevin Murphy","Peter Scolari,Barbara Alyn Woods,Hillary Tuck","Wayne Szalinski is a clumsy genius who comes up with new gadgets and experiments all the time. But something usually goes wrong and gets him and his family into trouble, danger, and fantastical adventure.",5.9,,6.350930725420003,,clumsy genius comes gets something usually goes wrong trouble experiments family fantastical adventure danger wayne szalinski time new gadgets honey shrunk kids tv show english edferrara kevinmurphy peterscolari barbaraalynwoods hillarytuck action adventure comedy family sci-fi
4282,4282,Mismatched,2020– ,Hindi,30min,"Comedy,Drama,Romance","Prajakta Koli,Rohit Saraf,Muskkaan Jaferi",,The movie will be a romantic film featuring two people who are not right for each other. The story is about Prajakta's character who is a tech wizard and the guy who is interested in her.,5.5,https://imdb.com/video/vi2328346905?playlistId=tt12719250&ref_=tt_ov_vi,5.894889308780456,"<a href=""https://www.netflix.com/in/title/80220079"">Official site</a>",movie guy tech wizard story right interested prajakta romantic film featuring two people character mismatched hindi prajaktakoli rohitsaraf muskkaanjaferi na comedy drama romance
