title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Mad About You,1992–2019,English,22min,"Comedy,Romance","Danny Jacobson,Paul Reiser,Peter Tolan","Paul Reiser,Helen Hunt,John Pankow","Official site,Sony Pictures Entertainment","https://spectrumoriginals.com/madaboutyou/,http://www.spe.sony.com/tv/shows/mad/",Mad About You centers on the trials and tribulations of a married couple living in New York.,22000,6.7,https://imdb.com/video/vi320059929?playlistId=tt0103484&ref_=tt_ov_vi
Entourage,2004–2011,English,28min,"Comedy,Drama",Doug Ellin,"Kevin Connolly,Adrian Grenier,Kevin Dillon",,,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,160000,8.4,https://imdb.com/video/vi4049404441?playlistId=tt0387199&ref_=tt_ov_vi
Them,2021– ,English,45min,"Drama,Horror,Thriller",Little Marvin,"Deborah Ayorinde,Ashley Thomas,Shahadi Wright Joseph",Official site (Amazon),https://www.amazon.com/dp/B08XXDRJKH/,"A Black family moves to an all-white Los Angeles neighborhood where malevolent forces, next door and otherworldly, threaten to taunt, ravage and destroy them.",13000,7.3,https://imdb.com/video/vi647217177?playlistId=tt9064858&ref_=tt_ov_vi
"Murder, She Wrote",1984–1996,English,50min,"Crime,Drama,Mystery","Peter S. Fischer,Richard Levinson,William Link","Angela Lansbury,William Windom,Ron Masak",,,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",20000,7.0,https://imdb.com/video/vi2107310361?playlistId=tt0086765&ref_=tt_ov_vi
House of Cards,2013–2018,English,51min,Drama,Beau Willimon,"Kevin Spacey,Michel Gill,Robin Wright","Official Facebook,Official site","https://www.facebook.com/houseofcards,http://movies1.netflix.com/WiMovie/House_of_Cards/70178217",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,474000,8.7,https://imdb.com/video/vi4155226649?playlistId=tt1856010&ref_=tt_ov_vi
Letterkenny,2016– ,English,30min,Comedy,"Jared Keeso,Jacob Tierney","Jared Keeso,Nathan Dales,Michelle Mylett","Hulu,Letterkenny Problems Facebook Page","https://www.hulu.com/series/letterkenny-0f756343-1afc-46ba-805a-bb6b1c1e8c65,https://www.facebook.com/letterkennyproblemsofficial/","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",15000,8.6,https://imdb.com/video/vi3624976665?playlistId=tt4647692&ref_=tt_ov_vi
Daredevil,2015–2018,English,54min,"Action,Crime,Drama,Fantasy,Sci-Fi,Thriller",Drew Goddard,"Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll","Marvel (United States),Official Facebook","https://marvel.com/tv/show/216/marvels_daredevil,https://www.facebook.com/Daredevil","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",371000,8.6,https://imdb.com/video/vi3349527065?playlistId=tt3322312&ref_=tt_ov_vi
Mary Tyler Moore,1970–1977,,30min,Comedy,"James L. Brooks,Allan Burns","Mary Tyler Moore,Edward Asner,Gavin MacLeod",,,"The lives and trials of a young single woman and her friends, both at work and at home.",7200,8.1,https://imdb.com/video/vi3316301081?playlistId=tt0065314&ref_=tt_ov_vi
The Marvelous Mrs. Maisel,2017– ,English,57min,"Comedy,Drama",Amy Sherman-Palladino,"Rachel Brosnahan,Alex Borstein,Michael Zegen",,,A housewife in 1958 decides to become a stand-up comic.,86000,8.7,https://imdb.com/video/vi1811070745?playlistId=tt5788792&ref_=tt_ov_vi
Columbo,1971–2003,English,1h 40min,"Crime,Drama,Mystery,Thriller","Richard Levinson,William Link","Peter Falk,Mike Lally,John Finnegan",,,Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.,30000,8.2,https://imdb.com/video/vi62849305?playlistId=tt1466074&ref_=tt_ov_vi
Broadchurch,2013–2017,English,48min,"Crime,Drama,Mystery",Chris Chibnall,"David Tennant,Olivia Colman,Jodie Whittaker",Official Facebook,https://www.facebook.com/BroadchurchTV,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",99000,8.4,https://imdb.com/video/vi1503308569?playlistId=tt2249364&ref_=tt_ov_vi
The Chi,2018– ,English,1h,Drama,Lena Waithe,"Jason Mitchell,Jacob Latimore,Ntare Guma Mbaho Mwine",Showtime,http://www.sho.com/the-chi,"From Emmy® winner Lena Waithe, The Chi is a timely coming-of-age drama series centered on a group of residents who become linked by coincidence but bonded by the need for connection and redemption.",4700,7.4,https://imdb.com/video/vi1739503641?playlistId=tt6294706&ref_=tt_ov_vi
Banshee,2013–2016,English,1h,"Action,Crime,Drama,Mystery,Thriller","David Schickler,Jonathan Tropper","Antony Starr,Ivana Milicevic,Ulrich Thomsen",Official site,http://www.cinemax.com/banshee/,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania; where he has some unfinished business.",90000,8.4,https://imdb.com/video/vi1681503513?playlistId=tt2017109&ref_=tt_ov_vi
Rugrats,2021– ,English,,"Animation,Adventure,Comedy,Family","Gabor Csupo,Paul Germain,Arlene Klasky","Nancy Cartwright,Elizabeth Daily,Tommy Dewey",Official Site,https://www.paramountplus.com/shows/rugrats-2021/,"Tommy, Chuckie, and the Rugrats crew return for all-new adventures.",273000,4.2,https://imdb.com/video/vi1876541465?playlistId=tt8741368&ref_=tt_ov_vi
Gotham,2014–2019,"English,Russian,Italian,French,Spanish,Arabic",42min,"Action,Crime,Drama,Mystery,Sci-Fi,Thriller",Bruno Heller,"Ben McKenzie,Jada Pinkett Smith,Donal Logue","Official Facebook,Official Instagram","https://www.facebook.com/GOTHAMonFOX,https://www.instagram.com/gothamonfox/",The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,215000,7.8,https://imdb.com/video/vi4174756377?playlistId=tt3749900&ref_=tt_ov_vi
Star Wars: Rebels,2014–2018,English,22min,"Animation,Action,Adventure,Family,Fantasy,Mystery,Sci-Fi","Simon Kinberg,Carrie Beck,Dave Filoni","Taylor Gray,Dave Filoni,Vanessa Marshall","Disney XD (United States),Lucasfilm (United States)","http://disneyxd.disney.com/star-wars-rebels,http://lucasfilm.com/star-wars-rebels",A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,34000,8.0,https://imdb.com/video/vi1396160537?playlistId=tt2930604&ref_=tt_ov_vi
Major Crimes,2012–2018,"English,Spanish,French,Italian,German",43min,"Action,Crime,Drama,Mystery",James Duff,"Mary McDonnell,G.W. Bailey,Tony Denison","Official Facebook,Official Google Plus","https://www.facebook.com/MajorCrimesTNT,https://plus.google.com/u/0/+MajorCrimesTNT/","The Closer (2005) spin-off series, which follows Captain Raydor of the Los Angeles Police Department.",12000,7.7,https://imdb.com/video/vi2909846809?playlistId=tt1936532&ref_=tt_ov_vi
All American,2018– ,English,45min,"Drama,Sport",April Blair,"Daniel Ezra,Bre-Z,Greta Onieogou","Instagram,Source","https://www.instagram.com/cwallamerican/,http://variety.com/2017/tv/news/greg-berlanti-hold-fast-spencer-paysinger-1202566820/","When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide.",6800,7.7,https://imdb.com/video/vi3895312665?playlistId=tt7414406&ref_=tt_ov_vi
After Life,2019– ,English,30min,"Comedy,Drama",Ricky Gervais,"Ricky Gervais,Tom Basden,Tony Way",Official Netflix,https://www.netflix.com/title/80998491,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm.",90000,8.4,https://imdb.com/video/vi878295577?playlistId=tt8398600&ref_=tt_ov_vi
